HPV_position,15361-CB-15-LabPrep_S16,15361-CB-7-LabPrep_S49,15361-CB-6-LabPrep_S48,15361-CB-18-LabPrep_S19,15361-CB-19-LabPrep_S20
61,3611,9022,1464,9808,678
62,3680,9200,1486,10000,692
63,3750,9358,1509,10186,704
64,3816,9557,1526,10381,716
65,3845,9670,1531,10495,720
66,3915,9799,1551,10686,736
67,3975,9964,1567,10847,745
68,4009,10087,1582,10954,756
69,4049,10223,1600,11133,766
70,4143,10414,1630,11333,782
71,4198,10551,1640,11496,788
72,4258,10710,1663,11688,800
73,4320,10836,1679,11851,803
74,4364,10952,1687,11986,807
75,4418,11086,1704,12142,811
76,4481,11216,1722,12290,827
77,4514,11346,1737,12437,843
78,4558,11467,1753,12594,854
79,4623,11651,1773,12770,861
80,4720,11846,1808,12975,867
81,4765,11963,1818,13115,878
82,4816,12132,1834,13292,887
83,4916,12355,1878,13501,903
84,4970,12523,1899,13683,911
85,5055,12680,1927,13883,926
86,5112,12844,1948,14069,936
87,5225,13090,1994,14323,950
88,5256,13206,2006,14420,950
89,5322,13363,2027,14623,969
90,5374,13534,2054,14772,980
91,5434,13710,2078,14939,992
92,5512,13880,2116,15143,1009
93,5554,14016,2134,15291,1016
94,5623,14164,2166,15449,1028
95,5658,14289,2171,15543,1033
96,5744,14494,2202,15765,1051
97,5810,14641,2218,15898,1061
98,5886,14821,2243,16093,1073
99,5986,15035,2281,16316,1090
100,6057,15196,2298,16492,1101
101,6123,15356,2312,16669,1113
102,6179,15525,2332,16849,1122
103,6251,15718,2355,17040,1131
104,6322,15898,2382,17270,1139
105,6356,15991,2397,17381,1141
106,6407,16152,2409,17543,1150
107,6492,16310,2446,17785,1163
108,6582,16574,2493,18045,1175
109,6657,16729,2512,18228,1190
110,6692,16829,2535,18356,1192
111,6751,16977,2554,18512,1207
112,6793,17067,2571,18650,1218
113,6875,17290,2608,18881,1221
114,6965,17466,2631,19074,1238
115,7027,17587,2649,19245,1246
116,7099,17799,2668,19427,1257
117,7185,18011,2696,19631,1267
118,7257,18203,2712,19871,1274
119,7310,18379,2737,20022,1285
120,7379,18545,2752,20231,1289
121,7417,18672,2763,20337,1296
122,7516,18905,2808,20596,1311
123,7568,19077,2827,20799,1319
124,7626,19219,2842,20964,1324
125,7675,19337,2856,21103,1326
126,7748,19541,2875,21351,1343
127,7836,19755,2894,21552,1364
128,7895,19903,2909,21721,1380
129,7934,20068,2931,21911,1387
130,7987,20204,2941,22083,1393
131,8023,20319,2952,22260,1396
132,8071,20478,2963,22415,1406
133,8074,20556,2969,22470,1412
134,8141,20759,2986,22683,1418
135,8174,20871,2985,22808,1422
136,8206,21012,2991,22935,1425
137,8232,21111,2991,23059,1436
138,8280,21296,3010,23236,1447
139,8304,21432,3025,23402,1457
140,8355,21593,3039,23557,1459
141,8400,21718,3049,23684,1466
142,8448,21849,3061,23848,1469
143,8499,21938,3064,23975,1470
144,8512,22046,3070,24060,1468
145,8570,22183,3091,24291,1474
146,8564,22295,3094,24366,1474
147,8602,22412,3104,24546,1484
148,8697,22621,3122,24754,1497
149,8741,22753,3131,24937,1503
150,8781,22877,3129,25054,1505
151,8800,22954,3135,25152,1507
152,8841,23103,3144,25284,1514
153,8885,23220,3152,25356,1520
154,8852,23205,3137,25306,1518
155,8864,23280,3152,25400,1524
156,8888,23351,3159,25476,1528
157,8901,23426,3159,25533,1532
158,8967,23528,3177,25606,1555
159,9001,23648,3186,25706,1563
160,9015,23713,3188,25741,1564
161,9028,23723,3182,25790,1564
162,8996,23747,3176,25796,1566
163,8991,23769,3178,25844,1564
164,8965,23776,3166,25888,1562
165,8984,23847,3164,25961,1567
166,9000,23808,3153,25977,1568
167,9060,23945,3157,26092,1575
168,9087,23955,3154,26125,1574
169,9062,23938,3139,26145,1577
170,9078,24051,3156,26201,1577
171,9078,24023,3148,26219,1578
172,9102,24057,3155,26282,1584
173,9138,24104,3171,26346,1590
174,9159,24183,3185,26437,1597
175,9135,24095,3187,26365,1593
176,9153,24138,3188,26430,1590
177,9162,24215,3182,26482,1598
178,9164,24256,3177,26530,1599
179,9157,24231,3153,26527,1581
180,9141,24229,3152,26520,1578
181,9145,24250,3154,26535,1580
182,9172,24304,3161,26633,1576
183,9176,24342,3167,26679,1580
184,9220,24405,3156,26727,1593
185,9239,24471,3144,26792,1601
186,9254,24524,3147,26879,1600
187,9249,24500,3133,26864,1604
188,9291,24584,3148,26981,1614
189,9296,24581,3156,26979,1620
190,9292,24629,3152,27055,1630
191,9249,24564,3135,27040,1630
192,9253,24610,3139,27083,1625
193,9236,24538,3134,27009,1625
194,9232,24615,3145,27078,1628
195,9210,24603,3136,27106,1633
196,9229,24613,3130,27168,1628
197,9193,24526,3119,27120,1623
198,9214,24532,3125,27131,1624
199,9275,24662,3137,27288,1643
200,9274,24654,3116,27326,1637
201,9279,24640,3121,27363,1642
202,9276,24617,3115,27378,1639
203,9277,24611,3114,27440,1640
204,9273,24629,3115,27461,1647
205,9241,24622,3104,27419,1642
206,9217,24584,3105,27385,1642
207,9201,24566,3089,27388,1638
208,9211,24584,3091,27421,1643
209,9184,24552,3084,27419,1639
210,9146,24485,3074,27420,1633
211,9140,24493,3083,27453,1637
212,9126,24469,3083,27502,1641
213,9109,24412,3067,27485,1638
214,9103,24393,3054,27498,1640
215,9122,24421,3069,27561,1644
216,9119,24375,3076,27581,1641
217,9104,24361,3078,27613,1637
218,9083,24367,3063,27592,1643
219,9065,24379,3058,27628,1645
220,9078,24384,3066,27683,1647
221,9030,24280,3044,27576,1645
222,9014,24251,3044,27661,1648
223,8998,24212,3047,27685,1644
224,8988,24189,3036,27704,1634
225,8955,24134,3039,27682,1634
226,8920,24053,3024,27643,1625
227,8889,23975,3014,27586,1623
228,8862,23883,3011,27534,1620
229,8841,23828,3001,27549,1626
230,8796,23715,2983,27475,1617
231,8807,23698,2974,27543,1614
232,8778,23656,2974,27578,1616
233,8735,23583,2964,27571,1618
234,8702,23556,2956,27591,1618
235,8671,23513,2946,27571,1623
236,8608,23415,2922,27474,1611
237,8590,23391,2922,27504,1607
238,8551,23274,2898,27463,1606
239,8539,23230,2873,27458,1603
240,8534,23180,2871,27443,1599
241,8478,23044,2840,27388,1591
242,8484,22996,2823,27427,1598
243,8431,22901,2809,27465,1577
244,8430,22874,2804,27520,1581
245,8398,22780,2792,27481,1571
246,8341,22682,2780,27434,1562
247,8332,22660,2776,27498,1563
248,8284,22606,2755,27539,1551
249,8286,22592,2747,27604,1555
250,8222,22487,2724,27521,1549
251,8201,22414,2707,27508,1551
252,8184,22354,2698,27497,1545
253,8176,22374,2698,27534,1552
254,8182,22364,2710,27554,1553
255,8168,22351,2705,27559,1561
256,8176,22353,2699,27611,1564
257,8157,22340,2692,27619,1563
258,8143,22369,2684,27625,1550
259,8094,22334,2651,27608,1549
260,8075,22337,2646,27619,1550
261,8026,22243,2620,27545,1558
262,8018,22241,2613,27579,1554
263,8002,22272,2618,27648,1560
264,7980,22255,2616,27635,1562
265,7979,22265,2625,27644,1565
266,7947,22215,2613,27582,1565
267,7926,22128,2603,27551,1566
268,7875,22064,2600,27493,1563
269,7857,22096,2603,27520,1564
270,7854,22069,2587,27489,1571
271,7820,22022,2576,27427,1566
272,7802,21941,2554,27417,1572
273,7791,21962,2556,27422,1569
274,7785,21960,2558,27435,1570
275,7748,21886,2552,27370,1560
276,7751,21945,2562,27424,1573
277,7734,21866,2546,27385,1566
278,7710,21769,2542,27358,1566
279,7724,21793,2542,27415,1571
280,7715,21762,2542,27377,1574
281,7706,21723,2536,27372,1570
282,7736,21768,2545,27420,1572
283,7707,21665,2523,27340,1566
284,7692,21706,2531,27384,1571
285,7702,21709,2531,27407,1576
286,7703,21765,2513,27424,1572
287,7672,21733,2501,27410,1569
288,7631,21601,2483,27368,1559
289,7674,21670,2494,27416,1564
290,7655,21681,2481,27423,1560
291,7651,21685,2467,27453,1559
292,7616,21668,2452,27411,1562
293,7641,21664,2447,27425,1570
294,7618,21659,2449,27361,1569
295,7603,21547,2433,27295,1563
296,7575,21481,2427,27243,1563
297,7569,21530,2420,27306,1568
298,7580,21561,2424,27332,1579
299,7521,21480,2401,27257,1575
300,7514,21497,2401,27259,1574
301,7498,21477,2397,27205,1579
302,7480,21489,2398,27187,1581
303,7466,21461,2394,27129,1577
304,7449,21413,2399,27057,1568
305,7449,21423,2395,27108,1561
306,7444,21439,2394,27124,1564
307,7430,21427,2388,27108,1556
308,7377,21306,2367,27011,1543
309,7373,21309,2357,27021,1536
310,7380,21266,2358,26980,1537
311,7380,21288,2362,27028,1542
312,7407,21299,2380,27094,1546
313,7442,21367,2387,27112,1545
314,7455,21430,2398,27131,1556
315,7446,21434,2405,27137,1562
316,7400,21373,2391,27084,1561
317,7413,21398,2380,27035,1546
318,7439,21444,2393,27060,1551
319,7427,21416,2393,27026,1550
320,7424,21397,2408,27018,1542
321,7411,21442,2409,27003,1539
322,7420,21517,2413,27050,1548
323,7406,21469,2397,27004,1550
324,7414,21555,2416,27029,1563
325,7400,21531,2417,27003,1566
326,7423,21573,2406,26990,1557
327,7443,21603,2403,27055,1558
328,7426,21627,2394,27057,1558
329,7428,21628,2398,26990,1563
330,7427,21644,2404,26986,1573
331,7438,21720,2397,27043,1581
332,7403,21667,2386,26940,1570
333,7423,21742,2405,26983,1577
334,7420,21780,2404,26998,1577
335,7408,21745,2392,26961,1573
336,7411,21727,2413,26936,1580
337,7412,21779,2415,26916,1576
338,7410,21805,2407,26928,1579
339,7431,21865,2422,26963,1585
340,7492,21968,2440,27004,1594
341,7506,21975,2447,26992,1600
342,7529,22073,2460,27024,1605
343,7543,22136,2464,27018,1620
344,7559,22187,2470,27044,1616
345,7569,22249,2476,27055,1611
346,7529,22269,2474,27035,1612
347,7545,22367,2486,27113,1616
348,7565,22471,2502,27166,1623
349,7576,22507,2499,27150,1610
350,7628,22590,2519,27259,1633
351,7682,22726,2535,27384,1651
352,7730,22850,2544,27424,1663
353,7751,22914,2562,27416,1658
354,7767,22957,2565,27424,1659
355,7801,23085,2578,27493,1668
356,7791,23083,2580,27410,1664
357,7838,23185,2590,27464,1670
358,7826,23193,2585,27447,1654
359,7858,23317,2600,27519,1654
360,7854,23334,2598,27488,1647
361,7864,23353,2606,27469,1643
362,7886,23432,2604,27481,1650
363,7908,23502,2606,27481,1655
364,7972,23693,2622,27641,1667
365,8021,23823,2635,27687,1674
366,8028,23918,2650,27713,1669
367,8028,23940,2660,27671,1667
368,8076,24078,2683,27801,1677
369,8084,24139,2685,27797,1678
370,8096,24172,2684,27779,1678
371,8155,24292,2700,27800,1694
372,8184,24346,2702,27780,1696
373,8240,24475,2716,27864,1717
374,8241,24529,2719,27855,1711
375,8244,24590,2722,27807,1712
376,8305,24788,2750,27939,1724
377,8282,24814,2750,27858,1716
378,8297,24870,2760,27846,1710
379,8369,25031,2767,27970,1721
380,8375,25097,2766,27945,1723
381,8423,25228,2782,28005,1726
382,8450,25280,2787,27985,1725
383,8447,25306,2787,27895,1727
384,8493,25488,2810,28004,1731
385,8499,25532,2813,28064,1728
386,8546,25636,2823,28087,1736
387,8583,25785,2841,28147,1735
388,8641,25992,2871,28268,1750
389,8669,26110,2889,28259,1752
390,8683,26199,2898,28265,1751
391,8762,26326,2926,28338,1756
392,8756,26331,2912,28244,1756
393,8774,26378,2913,28171,1750
394,8794,26432,2917,28189,1748
395,8829,26539,2935,28186,1760
396,8853,26640,2950,28260,1782
397,8843,26674,2955,28160,1782
398,8931,26850,3001,28237,1801
399,8949,26943,3009,28218,1804
400,9002,27066,3033,28276,1825
401,9003,27112,3037,28248,1817
402,9019,27236,3046,28282,1816
403,9039,27288,3064,28243,1809
404,9073,27401,3088,28272,1820
405,9086,27426,3082,28226,1822
406,9114,27476,3085,28270,1826
407,9137,27521,3102,28247,1831
408,9163,27546,3108,28234,1827
409,9209,27619,3134,28266,1838
410,9209,27617,3142,28197,1841
411,9242,27714,3155,28246,1844
412,9203,27661,3147,28159,1834
413,9300,27823,3183,28238,1841
414,9355,27955,3202,28327,1844
415,9401,28015,3216,28310,1853
416,9377,27957,3227,28208,1846
417,9452,28112,3247,28309,1854
418,9498,28241,3276,28402,1851
419,9496,28285,3296,28390,1852
420,9545,28410,3292,28459,1864
421,9575,28427,3299,28435,1869
422,9618,28470,3309,28423,1878
423,9597,28438,3308,28368,1876
424,9633,28466,3301,28409,1874
425,9704,28578,3312,28503,1875
426,9733,28616,3315,28462,1875
427,9728,28640,3331,28445,1874
428,9719,28641,3334,28414,1866
429,9728,28695,3328,28381,1868
430,9814,28850,3365,28492,1877
431,9818,28885,3376,28490,1878
432,9805,28878,3376,28423,1875
433,9848,28987,3381,28481,1874
434,9868,28980,3386,28465,1865
435,9934,29106,3405,28518,1868
436,9979,29182,3421,28618,1884
437,9971,29147,3421,28543,1880
438,10001,29165,3441,28589,1882
439,10015,29206,3449,28596,1877
440,10061,29283,3458,28627,1885
441,10084,29322,3479,28647,1879
442,10103,29391,3472,28619,1877
443,10108,29398,3480,28555,1872
444,10064,29320,3468,28409,1866
445,10107,29360,3476,28410,1876
446,10208,29520,3508,28494,1898
447,10210,29530,3525,28509,1899
448,10253,29610,3530,28533,1901
449,10280,29669,3532,28578,1886
450,10259,29590,3512,28462,1874
451,10277,29694,3537,28551,1884
452,10268,29696,3532,28526,1887
453,10285,29764,3548,28549,1896
454,10297,29827,3550,28546,1894
455,10287,29857,3551,28539,1910
456,10350,29968,3572,28632,1915
457,10402,30080,3594,28710,1928
458,10427,30171,3592,28759,1933
459,10444,30206,3600,28700,1934
460,10479,30302,3606,28753,1940
461,10490,30316,3619,28747,1945
462,10521,30377,3626,28787,1952
463,10497,30328,3621,28748,1945
464,10475,30251,3593,28658,1933
465,10496,30265,3592,28627,1937
466,10483,30229,3587,28594,1928
467,10557,30343,3614,28665,1937
468,10592,30398,3613,28671,1944
469,10633,30439,3634,28705,1943
470,10637,30431,3637,28694,1945
471,10591,30319,3620,28580,1927
472,10598,30378,3632,28602,1924
473,10550,30342,3618,28522,1921
474,10570,30388,3635,28481,1932
475,10565,30376,3648,28512,1929
476,10642,30460,3661,28510,1953
477,10673,30522,3684,28543,1960
478,10688,30536,3692,28544,1959
479,10740,30586,3700,28581,1960
480,10703,30520,3684,28476,1937
481,10708,30527,3697,28500,1953
482,10736,30531,3709,28491,1950
483,10749,30550,3716,28465,1946
484,10724,30510,3706,28408,1943
485,10714,30511,3702,28384,1920
486,10757,30605,3714,28427,1933
487,10771,30620,3703,28413,1942
488,10788,30602,3708,28390,1930
489,10760,30539,3687,28273,1923
490,10767,30536,3699,28248,1909
491,10802,30634,3700,28284,1923
492,10848,30681,3705,28328,1922
493,10849,30665,3713,28303,1925
494,10873,30659,3733,28273,1939
495,10838,30616,3716,28232,1916
496,10865,30693,3709,28280,1929
497,10881,30682,3705,28189,1927
498,10851,30570,3696,28044,1916
499,10877,30615,3702,28049,1904
500,10913,30730,3741,28102,1912
501,10887,30652,3732,28012,1912
502,10909,30620,3732,27975,1913
503,10912,30602,3724,27931,1904
504,10912,30637,3723,27954,1913
505,10971,30753,3736,27971,1912
506,10961,30709,3739,27919,1917
507,10953,30668,3735,27868,1929
508,11004,30707,3745,27846,1932
509,11026,30710,3748,27819,1932
510,11013,30675,3750,27742,1936
511,10976,30547,3741,27598,1922
512,10994,30602,3740,27585,1924
513,10987,30539,3744,27480,1929
514,10998,30535,3757,27420,1933
515,11007,30502,3751,27380,1938
516,10983,30469,3755,27313,1941
517,11010,30493,3743,27277,1934
518,10998,30452,3732,27195,1939
519,10986,30455,3729,27144,1928
520,11045,30560,3761,27230,1937
521,11051,30590,3777,27240,1942
522,11029,30569,3773,27148,1932
523,11079,30677,3803,27276,1943
524,11032,30583,3790,27197,1938
525,11077,30679,3797,27203,1949
526,11039,30567,3787,27078,1936
527,11055,30663,3789,27039,1936
528,11054,30636,3780,26964,1930
529,11083,30638,3788,26926,1933
530,11148,30796,3823,27033,1940
531,11133,30778,3824,26995,1942
532,11137,30724,3820,26915,1937
533,11140,30744,3816,26947,1943
534,11120,30756,3803,26866,1942
535,11136,30730,3804,26852,1954
536,11140,30725,3814,26824,1951
537,11130,30640,3800,26721,1952
538,11154,30752,3806,26805,1958
539,11181,30857,3821,26871,1964
540,11190,30868,3813,26826,1980
541,11201,30943,3834,26857,1982
542,11186,30943,3826,26819,1981
543,11188,30936,3832,26794,1976
544,11170,30866,3815,26741,1964
545,11157,30834,3824,26722,1961
546,11081,30710,3799,26600,1953
547,11067,30712,3773,26515,1930
548,11093,30766,3769,26481,1942
549,11069,30725,3753,26408,1933
550,11069,30723,3748,26382,1936
551,11109,30820,3759,26421,1943
552,11112,30785,3750,26346,1935
553,11149,30819,3750,26371,1941
554,11177,30936,3771,26425,1951
555,11151,30871,3769,26302,1950
556,11165,30918,3776,26307,1945
557,11148,30837,3750,26213,1937
558,11129,30793,3746,26173,1932
559,11241,30983,3782,26298,1948
560,11184,30910,3745,26160,1935
561,11129,30856,3730,26095,1936
562,11161,30872,3736,26075,1929
563,11212,30959,3737,26148,1938
564,11264,30987,3742,26131,1949
565,11275,31049,3764,26184,1952
566,11326,31082,3777,26182,1972
567,11337,31074,3774,26138,1972
568,11260,30985,3752,26048,1961
569,11262,31009,3740,26022,1970
570,11231,30928,3733,25916,1970
571,11234,31003,3767,25930,1976
572,11234,30971,3769,25870,1970
573,11210,30899,3760,25745,1963
574,11255,30945,3773,25779,1967
575,11283,31033,3790,25838,1970
576,11331,31111,3803,25873,1984
577,11388,31215,3816,25940,1994
578,11394,31237,3832,25920,2003
579,11401,31205,3824,25855,2008
580,11425,31271,3843,25851,2013
581,11483,31352,3852,25909,2024
582,11500,31379,3854,25909,2024
583,11563,31453,3879,25952,2039
584,11550,31453,3880,25923,2039
585,11562,31414,3883,25880,2037
586,11547,31455,3896,25884,2053
587,11554,31447,3912,25858,2050
588,11534,31445,3916,25805,2045
589,11529,31430,3910,25778,2050
590,11555,31424,3908,25776,2051
591,11595,31465,3926,25804,2054
592,11586,31465,3924,25674,2047
593,11553,31413,3913,25607,2033
594,11558,31445,3912,25585,2026
595,11632,31575,3950,25689,2044
596,11620,31585,3954,25670,2053
597,11635,31636,3973,25676,2053
598,11609,31583,3952,25624,2057
599,11611,31615,3956,25611,2058
600,11573,31518,3956,25532,2058
601,11621,31586,3956,25567,2064
602,11643,31670,3960,25611,2071
603,11628,31575,3948,25521,2053
604,11694,31671,3976,25589,2053
605,11708,31695,3987,25546,2065
606,11738,31698,3995,25564,2062
607,11745,31718,3999,25556,2060
608,11737,31707,3997,25534,2057
609,11788,31783,4009,25574,2054
610,11698,31638,3969,25441,2031
611,11705,31683,3993,25423,2037
612,11698,31702,3984,25391,2031
613,11729,31724,3986,25383,2029
614,11743,31719,3989,25359,2033
615,11744,31734,3998,25346,2028
616,11706,31713,3997,25273,2018
617,11691,31715,3995,25231,2012
618,11670,31712,3993,25213,2017
619,11714,31805,4002,25232,2020
620,11760,31850,4011,25224,2038
621,11753,31791,3996,25155,2032
622,11810,31856,4010,25183,2038
623,11808,31837,4024,25048,2038
624,11824,31932,4044,25138,2040
625,11808,31928,4056,25088,2036
626,11798,31884,4053,25042,2020
627,11849,31980,4075,25135,2021
628,11812,31912,4067,25060,2014
629,11841,31971,4070,25094,2014
630,11872,31984,4085,25050,2015
631,11795,31886,4062,24974,2013
632,11845,31906,4066,24959,2020
633,11860,31898,4069,24928,2012
634,11864,31874,4073,24943,2021
635,11859,31879,4082,24949,2024
636,11805,31827,4067,24889,2011
637,11876,31910,4098,24936,2018
638,11898,31868,4106,24914,2016
639,11886,31859,4097,24918,2006
640,11881,31817,4078,24883,2007
641,11858,31763,4075,24852,2004
642,11930,31860,4091,24921,2014
643,11900,31797,4082,24864,2014
644,11881,31745,4078,24789,2006
645,11912,31712,4100,24829,2006
646,11926,31814,4133,24912,2016
647,11966,31857,4152,24942,2014
648,11992,31823,4151,24959,2016
649,11992,31878,4173,25000,2021
650,11983,31887,4168,24969,2014
651,12006,31929,4173,24973,2026
652,12020,31939,4184,24982,2027
653,12089,32052,4213,25080,2027
654,12109,32090,4234,25102,2029
655,12139,32083,4250,25135,2027
656,12150,32115,4261,25166,2032
657,12149,32146,4262,25151,2034
658,12163,32178,4280,25170,2042
659,12211,32291,4310,25260,2050
660,12214,32276,4304,25249,2048
661,12210,32282,4322,25246,2044
662,12208,32277,4321,25239,2039
663,12206,32262,4347,25246,2036
664,12174,32226,4342,25190,2030
665,12201,32280,4341,25227,2031
666,12216,32286,4354,25235,2033
667,12243,32279,4351,25236,2038
668,12290,32317,4360,25277,2047
669,12327,32317,4375,25335,2049
670,12303,32232,4362,25291,2040
671,12295,32219,4369,25284,2043
672,12328,32272,4378,25352,2052
673,12323,32275,4378,25395,2050
674,12331,32233,4364,25374,2055
675,12327,32171,4374,25359,2052
676,12322,32216,4376,25409,2069
677,12330,32150,4374,25394,2064
678,12351,32164,4391,25422,2072
679,12338,32123,4386,25389,2076
680,12393,32239,4407,25475,2093
681,12437,32318,4416,25515,2101
682,12407,32193,4391,25419,2085
683,12430,32225,4389,25472,2093
684,12455,32264,4404,25479,2096
685,12500,32302,4438,25531,2094
686,12542,32316,4437,25511,2091
687,12583,32382,4445,25551,2100
688,12566,32311,4422,25517,2097
689,12578,32304,4423,25512,2097
690,12607,32316,4435,25556,2090
691,12589,32219,4428,25506,2086
692,12561,32209,4423,25502,2075
693,12609,32284,4436,25556,2080
694,12598,32215,4435,25523,2077
695,12596,32238,4432,25523,2083
696,12578,32173,4439,25520,2073
697,12607,32232,4464,25586,2072
698,12618,32177,4460,25537,2084
699,12671,32237,4485,25634,2094
700,12679,32219,4491,25605,2096
701,12724,32244,4516,25666,2088
702,12766,32281,4532,25727,2098
703,12784,32283,4540,25799,2106
704,12804,32356,4550,25856,2112
705,12784,32308,4549,25832,2111
706,12729,32239,4517,25776,2107
707,12766,32256,4527,25825,2128
708,12780,32283,4523,25845,2128
709,12756,32247,4510,25831,2121
710,12731,32213,4502,25791,2123
711,12765,32224,4520,25846,2126
712,12732,32225,4524,25842,2121
713,12748,32201,4535,25843,2115
714,12823,32276,4552,25926,2118
715,12801,32213,4549,25885,2122
716,12818,32192,4559,25885,2109
717,12861,32293,4591,25925,2106
718,12870,32270,4582,25933,2096
719,12889,32231,4584,25929,2096
720,12797,32086,4563,25824,2067
721,12803,32071,4553,25835,2069
722,12838,32158,4588,25905,2067
723,12845,32158,4584,25863,2063
724,12823,32104,4557,25870,2066
725,12794,32037,4564,25825,2060
726,12768,31910,4552,25706,2046
727,12813,32010,4583,25769,2059
728,12764,31949,4553,25727,2049
729,12763,31905,4548,25677,2047
730,12756,31907,4547,25699,2052
731,12745,31870,4536,25709,2051
732,12769,31883,4547,25739,2057
733,12730,31818,4538,25660,2052
734,12747,31871,4534,25709,2054
735,12819,31919,4564,25802,2082
736,12803,31834,4536,25749,2074
737,12788,31781,4535,25702,2077
738,12784,31797,4527,25686,2081
739,12712,31770,4508,25625,2073
740,12741,31777,4524,25663,2065
741,12688,31661,4517,25602,2044
742,12667,31547,4507,25527,2031
743,12655,31540,4514,25525,2036
744,12618,31480,4508,25464,2027
745,12636,31580,4504,25541,2035
746,12643,31549,4503,25530,2033
747,12657,31542,4514,25551,2039
748,12622,31518,4511,25572,2031
749,12629,31575,4520,25584,2020
750,12619,31491,4518,25535,2019
751,12633,31453,4510,25542,2020
752,12664,31504,4511,25641,2034
753,12655,31494,4493,25600,2024
754,12680,31577,4506,25688,2025
755,12675,31546,4503,25684,2021
756,12697,31582,4478,25655,2030
757,12701,31579,4460,25639,2032
758,12620,31466,4441,25553,2026
759,12684,31608,4462,25637,2033
760,12700,31572,4452,25674,2042
761,12672,31479,4442,25601,2036
762,12650,31431,4439,25574,2034
763,12621,31376,4450,25553,2026
764,12600,31355,4460,25570,2029
765,12640,31415,4462,25629,2043
766,12691,31457,4509,25674,2061
767,12672,31341,4489,25617,2055
768,12680,31360,4475,25602,2051
769,12681,31409,4489,25637,2053
770,12668,31374,4498,25622,2051
771,12692,31389,4494,25645,2053
772,12640,31277,4469,25592,2039
773,12631,31278,4474,25642,2043
774,12611,31250,4467,25566,2041
775,12603,31229,4461,25561,2034
776,12586,31214,4451,25560,2044
777,12586,31200,4441,25536,2039
778,12632,31270,4443,25600,2044
779,12695,31387,4474,25679,2041
780,12719,31452,4480,25741,2050
781,12692,31364,4476,25699,2048
782,12717,31460,4478,25739,2057
783,12661,31353,4449,25674,2054
784,12634,31309,4438,25601,2044
785,12637,31292,4417,25606,2046
786,12590,31200,4391,25520,2042
787,12553,31211,4386,25516,2044
788,12558,31264,4401,25531,2049
789,12519,31292,4403,25547,2057
790,12516,31280,4407,25561,2055
791,12546,31272,4382,25518,2049
792,12530,31239,4376,25503,2049
793,12518,31173,4382,25433,2047
794,12577,31275,4402,25509,2054
795,12526,31183,4374,25431,2044
796,12498,31210,4354,25421,2041
797,12476,31204,4337,25426,2043
798,12416,31065,4306,25311,2034
799,12436,31127,4317,25387,2041
800,12421,31116,4324,25374,2038
801,12370,31020,4285,25288,2031
802,12343,30926,4244,25193,2017
803,12322,30916,4249,25200,2018
804,12295,30874,4239,25159,2012
805,12321,30933,4239,25212,2012
806,12279,30871,4219,25119,2010
807,12306,30962,4241,25153,2009
808,12245,30826,4219,25055,1992
809,12246,30798,4205,25015,1995
810,12243,30805,4198,25014,1999
811,12245,30815,4182,25020,2001
812,12181,30719,4151,24919,1989
813,12155,30682,4130,24871,1975
814,12174,30797,4133,24939,1987
815,12172,30825,4122,24958,1995
816,12130,30743,4111,24905,1998
817,12111,30759,4115,24900,1991
818,12138,30831,4119,24930,1994
819,12153,30820,4121,24890,1993
820,12219,30946,4146,24958,1983
821,12208,30879,4136,24940,1974
