HPV_position,15361-CB-10-LabPrep_S11,15361-CB-11-LabPrep_S12,15361-CB-12-LabPrep_S13,15361-CB-13-LabPrep_S14,15361-CB-14-LabPrep_S15,15361-CB-15-LabPrep_S16,15361-CB-16-LabPrep_S17,15361-CB-17-LabPrep_S18,15361-CB-18-LabPrep_S19,15361-CB-19-LabPrep_S20,15361-CB-1-LabPrep_S10,15361-CB-20-LabPrep_S22,15361-CB-21-LabPrep_S23,15361-CB-23-LabPrep_S25,15361-CB-24-LabPrep_S26,15361-CB-26-LabPrep_S28,15361-CB-2-LabPrep_S21,15361-CB-30-LabPrep_S33,15361-CB-32-LabPrep_S34,15361-CB-34-LabPrep_S36,15361-CB-35-LabPrep_S37,15361-CB-38-LabPrep_S40,15361-CB-39-LabPrep_S41,15361-CB-3-LabPrep_S32,15361-CB-40-LabPrep_S43,15361-CB-42-LabPrep_S44,15361-CB-44-LabPrep_S46,15361-CB-4-LabPrep_S42,15361-CB-6-LabPrep_S48,15361-CB-7-LabPrep_S49,15361-CB-9-LabPrep_S51
131,33299,11006,26651,21803,26188,8023,10427,24298,22260,1396,12533,9325,138,17152,3712,256,34317,30,11256,6,3726,3098,15873,22273,0,13480,13497,467,2952,20319,8786
132,33524,11065,26842,21956,26383,8071,10497,24471,22415,1406,12600,9377,138,17229,3726,254,34518,30,11328,6,3747,3112,15980,22418,0,13567,13602,470,2963,20478,8820
133,33658,11081,26947,22034,26463,8074,10506,24526,22470,1412,12633,9396,137,17253,3730,255,34619,30,11366,6,3750,3110,15994,22481,0,13601,13624,469,2969,20556,8840
134,33979,11152,27147,22223,26718,8141,10600,24740,22683,1418,12721,9463,136,17387,3751,256,34883,30,11465,6,3772,3132,16113,22692,0,13731,13715,471,2986,20759,8903
135,34211,11204,27287,22330,26882,8174,10646,24892,22808,1422,12784,9511,136,17417,3750,255,35055,30,11508,6,3785,3144,16195,22815,0,13777,13800,474,2985,20871,8936
136,34428,11269,27423,22437,27014,8206,10698,25029,22935,1425,12830,9543,136,17470,3751,257,35234,30,11556,6,3799,3151,16269,22948,0,13840,13871,476,2991,21012,8962
137,34611,11302,27549,22535,27157,8232,10753,25170,23059,1436,12887,9587,136,17521,3761,256,35395,31,11620,6,3820,3157,16346,23062,0,13909,13927,474,2991,21111,8990
138,34825,11377,27746,22706,27356,8280,10861,25352,23236,1447,12995,9636,137,17628,3791,257,35578,31,11737,6,3829,3172,16468,23199,0,13993,14019,475,3010,21296,9039
139,35055,11464,27932,22855,27512,8304,10915,25517,23402,1457,13068,9679,138,17704,3801,256,35759,31,11808,6,3847,3182,16560,23335,0,14053,14126,478,3025,21432,9080
140,35281,11511,28073,22963,27675,8355,10975,25639,23557,1459,13114,9722,137,17794,3812,254,35924,32,11855,6,3873,3192,16624,23465,0,14133,14177,484,3039,21593,9110
141,35494,11579,28235,23078,27847,8400,11032,25837,23684,1466,13173,9755,139,17894,3826,253,36102,33,11907,7,3890,3209,16728,23606,0,14209,14259,482,3049,21718,9150
142,35716,11631,28397,23195,28036,8448,11103,25989,23848,1469,13226,9790,140,17960,3842,254,36291,33,11960,7,3906,3211,16819,23740,0,14267,14337,484,3061,21849,9187
143,35966,11690,28579,23347,28195,8499,11143,26140,23975,1470,13277,9836,138,18028,3845,252,36452,32,12006,7,3925,3220,16917,23903,0,14342,14405,485,3064,21938,9212
144,36145,11697,28684,23421,28320,8512,11170,26285,24060,1468,13327,9856,137,18054,3842,251,36573,32,12064,7,3932,3230,16959,23996,0,14368,14455,482,3070,22046,9243
145,36432,11781,28923,23627,28593,8570,11237,26499,24291,1474,13438,9904,139,18201,3867,254,36808,32,12155,7,3946,3242,17071,24171,0,14469,14570,487,3091,22183,9307
146,36580,11806,29006,23700,28682,8564,11294,26555,24366,1474,13472,9937,138,18224,3867,255,36893,32,12183,7,3955,3243,17124,24265,0,14513,14632,484,3094,22295,9328
147,36823,11884,29169,23850,28835,8602,11344,26707,24546,1484,13532,9979,139,18343,3879,256,37050,32,12239,7,3954,3252,17204,24371,0,14579,14708,480,3104,22412,9362
148,37079,11975,29391,24035,29062,8697,11457,26962,24754,1497,13660,10036,139,18484,3889,257,37285,32,12351,7,3992,3264,17365,24577,0,14728,14869,483,3122,22621,9403
149,37353,12043,29536,24185,29256,8741,11533,27124,24937,1503,13741,10072,139,18555,3909,256,37490,32,12426,7,4002,3272,17456,24724,0,14814,14943,486,3131,22753,9448
