HPV_position,15361-CB-43-LabPrep_S45,15361-CB-4-LabPrep_S42,15361-CB-5-LabPrep_S47
121,1334,9,1937
122,1348,10,1970
123,1357,10,1985
124,1375,10,2002
125,1386,10,2017
126,1396,10,2024
127,1402,10,2043
128,1404,10,2042
129,1410,10,2046
130,1418,10,2063
131,1427,10,2078
132,1437,10,2093
133,1442,10,2102
134,1450,10,2108
135,1459,10,2121
136,1466,8,2125
137,1469,8,2135
138,1478,8,2133
139,1479,8,2138
140,1486,8,2144
141,1479,8,2136
142,1492,8,2155
143,1492,8,2153
144,1495,8,2146
145,1495,8,2152
146,1504,8,2161
147,1497,9,2159
148,1494,9,2155
149,1493,9,2150
150,1492,9,2146
151,1501,9,2141
152,1498,9,2144
153,1504,9,2145
154,1496,9,2134
155,1492,9,2134
156,1498,9,2128
157,1497,10,2123
158,1508,10,2130
159,1506,10,2123
160,1507,10,2117
161,1515,10,2117
162,1518,10,2114
163,1522,10,2118
164,1524,10,2118
165,1526,10,2125
166,1532,10,2127
167,1532,10,2119
168,1527,10,2117
169,1525,10,2111
170,1532,10,2110
171,1532,9,2103
172,1535,9,2110
173,1536,9,2109
174,1532,8,2100
175,1532,7,2103
176,1538,7,2098
177,1535,7,2097
178,1540,7,2095
179,1548,7,2086
180,1549,7,2083
181,1541,7,2070
182,1541,7,2069
183,1544,7,2061
184,1544,7,2048
185,1548,7,2043
186,1551,7,2035
187,1562,7,2038
188,1558,7,2035
189,1562,7,2041
190,1563,7,2035
191,1565,7,2021
192,1563,7,2026
193,1556,7,2024
194,1558,7,2020
195,1568,7,2021
196,1564,7,2013
197,1569,7,1998
198,1569,7,1985
199,1570,7,1980
200,1569,7,1984
201,1564,7,1978
202,1566,7,1976
203,1564,7,1979
204,1563,7,1974
205,1564,7,1951
206,1564,7,1951
207,1562,6,1938
208,1552,6,1917
209,1550,6,1910
210,1546,7,1903
211,1543,7,1900
212,1545,7,1892
213,1551,7,1887
214,1552,8,1880
215,1559,8,1868
216,1564,8,1867
217,1586,8,1870
218,1592,8,1861
219,1602,8,1845
220,1606,8,1849
221,1603,8,1838
222,1610,8,1838
223,1605,8,1817
224,1599,8,1817
225,1605,8,1814
226,1603,8,1810
227,1602,8,1807
228,1600,9,1791
229,1595,9,1785
230,1593,9,1774
231,1593,10,1767
232,1585,10,1755
233,1563,10,1737
234,1556,10,1727
235,1553,10,1705
236,1550,10,1702
237,1538,10,1697
238,1533,10,1687
239,1549,10,1669
240,1550,10,1662
241,1554,10,1654
242,1560,10,1655
243,1559,10,1645
244,1560,10,1642
245,1559,9,1631
246,1556,9,1625
247,1555,9,1615
248,1545,9,1600
249,1546,9,1596
250,1539,9,1591
251,1551,9,1581
252,1554,9,1568
253,1556,9,1559
254,1547,9,1545
255,1555,9,1542
256,1556,9,1525
257,1558,9,1515
258,1560,9,1505
259,1561,9,1502
260,1562,9,1495
261,1554,8,1480
262,1562,8,1476
263,1569,8,1464
264,1567,7,1448
265,1575,7,1437
266,1573,7,1423
267,1582,7,1423
268,1588,7,1416
269,1581,7,1393
270,1578,7,1384
271,1578,7,1375
272,1576,7,1367
273,1572,7,1345
274,1583,7,1354
275,1580,7,1341
276,1576,7,1325
277,1574,7,1316
278,1579,7,1312
279,1571,7,1295
280,1563,7,1283
281,1569,7,1277
282,1570,7,1276
283,1567,7,1271
284,1559,7,1255
285,1565,7,1245
286,1560,7,1241
287,1563,7,1239
288,1565,7,1239
289,1565,7,1229
290,1565,7,1226
291,1570,7,1226
292,1569,7,1216
293,1548,7,1200
294,1557,7,1206
295,1563,7,1210
296,1567,7,1202
297,1568,7,1198
298,1565,7,1186
299,1571,7,1182
300,1564,7,1180
301,1566,7,1178
302,1564,7,1170
303,1565,7,1167
304,1556,7,1161
305,1560,6,1155
306,1561,6,1142
307,1553,6,1139
308,1545,6,1132
309,1537,6,1127
310,1536,6,1129
311,1525,6,1115
312,1521,6,1119
313,1509,6,1095
314,1505,6,1094
315,1511,6,1088
316,1505,6,1078
317,1505,6,1086
318,1496,6,1090
319,1505,6,1092
320,1505,6,1085
321,1489,6,1078
322,1484,6,1069
323,1486,6,1065
324,1480,6,1058
325,1475,6,1051
326,1466,6,1058
327,1472,6,1056
328,1461,6,1043
329,1477,6,1050
330,1472,6,1053
331,1469,6,1051
332,1466,6,1052
333,1468,6,1060
334,1453,6,1055
335,1443,6,1050
336,1452,6,1059
337,1442,6,1063
338,1441,6,1062
339,1440,6,1063
340,1440,6,1051
341,1443,6,1052
342,1448,6,1060
343,1440,6,1058
344,1438,6,1060
345,1442,6,1070
346,1436,6,1064
347,1449,6,1073
348,1445,6,1071
349,1450,5,1070
350,1448,5,1081
351,1448,5,1092
352,1441,4,1094
353,1436,4,1099
354,1444,4,1101
355,1438,4,1106
356,1438,4,1104
357,1444,4,1111
358,1449,4,1114
359,1438,4,1118
360,1443,4,1127
361,1434,4,1123
362,1431,4,1130
363,1419,4,1132
364,1418,4,1130
365,1414,4,1135
366,1422,4,1137
367,1412,4,1122
368,1414,4,1130
369,1420,4,1151
370,1413,4,1158
371,1416,4,1173
372,1406,4,1184
373,1411,4,1207
374,1409,4,1212
375,1411,4,1217
376,1413,4,1219
377,1411,4,1223
378,1418,4,1237
379,1413,3,1244
380,1422,3,1257
381,1423,2,1271
382,1426,2,1293
383,1434,2,1314
384,1425,2,1318
385,1429,2,1340
386,1431,3,1351
387,1428,3,1364
388,1424,3,1372
389,1426,3,1390
390,1423,3,1405
391,1411,3,1425
392,1421,3,1461
393,1418,3,1491
394,1415,3,1498
395,1415,3,1526
396,1419,3,1549
397,1410,3,1585
398,1423,3,1636
399,1414,3,1657
400,1422,3,1699
401,1415,3,1716
402,1417,3,1746
403,1412,3,1765
404,1402,3,1766
405,1404,3,1813
406,1415,3,1844
407,1417,3,1869
408,1419,3,1886
409,1434,4,1922
410,1431,4,1934
411,1433,4,1962
412,1431,4,1983
413,1431,4,2004
414,1433,4,2041
415,1429,4,2046
416,1433,4,2068
417,1426,4,2073
418,1436,4,2111
419,1448,4,2149
420,1447,4,2170
421,1438,4,2189
422,1436,4,2209
423,1436,4,2241
424,1440,4,2262
425,1446,4,2289
426,1442,4,2327
427,1449,4,2344
428,1453,4,2359
429,1464,4,2370
430,1457,4,2375
431,1466,4,2414
432,1464,4,2432
433,1458,4,2449
434,1456,4,2473
435,1458,4,2497
436,1461,4,2529
437,1454,4,2529
438,1456,5,2560
439,1452,5,2563
440,1454,5,2601
441,1452,5,2618
442,1453,5,2637
443,1456,5,2672
444,1455,4,2695
445,1457,4,2716
446,1466,4,2750
447,1470,4,2772
448,1481,4,2795
449,1475,4,2808
450,1495,4,2847
451,1496,4,2883
452,1495,4,2903
453,1506,4,2934
454,1528,4,2979
455,1539,4,3016
456,1551,4,3049
457,1550,4,3069
458,1555,5,3095
459,1556,5,3119
460,1563,5,3131
461,1588,5,3176
462,1592,5,3200
463,1606,5,3219
464,1613,5,3248
465,1627,5,3257
466,1633,5,3292
467,1643,5,3313
468,1643,5,3346
469,1641,5,3371
470,1650,5,3398
471,1658,5,3431
472,1662,5,3460
473,1669,5,3496
474,1673,5,3526
475,1677,5,3549
476,1690,5,3566
477,1684,5,3591
478,1685,5,3612
479,1693,5,3636
480,1693,5,3659
481,1694,5,3685
482,1701,5,3704
483,1706,5,3733
484,1709,5,3763
485,1710,5,3777
486,1714,5,3803
487,1713,5,3838
488,1717,5,3863
489,1716,5,3875
490,1711,5,3899
491,1719,5,3938
492,1723,5,3973
493,1728,5,4006
494,1723,5,4019
495,1729,5,4031
496,1735,5,4056
497,1737,5,4072
498,1737,5,4089
499,1730,5,4102
500,1737,5,4121
501,1745,5,4146
502,1744,5,4145
503,1737,5,4152
504,1732,5,4169
505,1736,5,4202
506,1732,5,4210
507,1730,4,4216
508,1718,4,4226
509,1713,4,4237
510,1712,4,4250
511,1714,4,4277
512,1719,4,4299
513,1719,4,4305
514,1719,4,4315
515,1728,4,4346
516,1728,4,4352
517,1722,4,4363
518,1715,4,4359
519,1711,4,4364
520,1704,4,4379
521,1699,4,4382
522,1693,4,4377
523,1698,4,4377
524,1698,4,4381
525,1699,4,4399
526,1697,4,4402
527,1685,4,4404
528,1691,4,4406
529,1687,4,4412
530,1684,4,4405
531,1684,4,4402
532,1692,4,4425
533,1684,4,4411
534,1695,4,4413
535,1697,3,4421
536,1698,3,4417
537,1707,3,4431
538,1715,3,4428
539,1718,3,4435
540,1715,3,4426
541,1713,3,4404
542,1716,3,4391
543,1710,3,4364
544,1704,3,4329
545,1697,3,4315
546,1689,3,4299
547,1684,3,4298
548,1700,4,4300
549,1696,4,4290
550,1705,4,4296
551,1704,4,4279
552,1700,4,4280
553,1703,4,4282
554,1691,4,4256
555,1688,4,4250
556,1697,4,4244
557,1698,3,4239
558,1693,3,4232
559,1684,3,4223
560,1687,3,4224
561,1679,3,4210
562,1685,3,4208
563,1682,3,4201
564,1678,3,4183
565,1671,3,4176
566,1659,3,4157
567,1660,3,4145
568,1670,3,4157
569,1666,3,4143
570,1668,3,4137
571,1676,3,4132
572,1673,3,4120
573,1679,3,4146
574,1675,3,4140
575,1677,3,4141
576,1680,3,4119
577,1680,3,4119
578,1671,3,4112
579,1673,3,4102
580,1669,3,4103
581,1673,3,4104
582,1674,3,4130
583,1672,3,4143
584,1676,2,4154
585,1681,2,4158
586,1676,2,4171
587,1674,2,4158
588,1677,2,4151
589,1682,2,4143
590,1694,2,4156
591,1706,2,4176
592,1701,2,4163
593,1715,3,4173
594,1722,3,4188
595,1710,3,4183
596,1710,3,4189
597,1705,4,4169
598,1711,4,4172
599,1695,4,4166
600,1690,4,4168
601,1676,4,4141
602,1685,4,4141
603,1674,4,4096
604,1669,4,4097
605,1664,4,4070
606,1665,4,4075
607,1657,3,4068
608,1668,3,4096
609,1673,3,4104
610,1665,3,4087
611,1674,3,4097
612,1676,3,4119
613,1671,3,4133
614,1666,3,4112
615,1661,3,4106
616,1659,3,4097
617,1658,3,4088
618,1659,3,4089
619,1659,3,4095
620,1656,3,4086
621,1649,3,4080
622,1645,3,4098
623,1643,3,4096
624,1654,3,4104
625,1659,3,4117
626,1666,3,4134
627,1658,3,4105
628,1653,3,4092
629,1647,3,4103
630,1650,3,4103
631,1639,3,4082
632,1639,3,4069
633,1642,3,4088
634,1639,3,4069
635,1642,3,4080
636,1648,3,4081
637,1639,3,4050
638,1634,3,4058
639,1631,3,4058
640,1634,3,4050
641,1651,3,4064
642,1647,3,4068
643,1640,3,4057
644,1639,3,4053
645,1630,3,4034
646,1636,3,4042
647,1633,3,4021
648,1635,3,4038
649,1627,3,4029
650,1630,3,4026
651,1626,3,4029
652,1617,3,4008
653,1630,3,4037
654,1627,3,4025
655,1639,3,4036
656,1640,3,4014
657,1648,3,4004
658,1652,3,4010
659,1663,3,4028
660,1666,3,4039
661,1657,3,4049
662,1660,3,4068
663,1660,3,4068
664,1664,3,4087
665,1667,3,4105
666,1665,3,4109
667,1663,3,4114
668,1659,3,4099
669,1673,3,4111
670,1673,3,4142
671,1672,3,4145
672,1671,3,4144
673,1671,3,4154
674,1663,3,4162
675,1664,3,4165
676,1676,3,4193
677,1685,3,4199
678,1688,3,4212
679,1693,3,4204
680,1689,3,4230
681,1684,3,4226
682,1692,3,4221
683,1694,3,4217
684,1686,3,4219
685,1681,3,4224
686,1681,3,4222
687,1686,3,4242
688,1692,3,4239
689,1698,3,4231
690,1697,3,4224
691,1696,3,4224
692,1699,3,4233
693,1696,3,4243
694,1699,3,4265
695,1700,3,4263
696,1701,3,4262
697,1715,3,4276
698,1722,3,4283
699,1710,2,4275
700,1710,2,4271
701,1712,2,4265
702,1713,2,4274
703,1721,2,4286
704,1719,2,4289
705,1725,2,4283
706,1729,2,4273
707,1731,3,4278
708,1730,4,4282
709,1731,4,4288
710,1739,4,4311
711,1726,4,4301
712,1722,4,4301
713,1723,4,4317
714,1722,4,4307
715,1731,4,4321
716,1727,4,4314
717,1725,4,4322
718,1726,4,4327
719,1716,4,4331
720,1720,5,4358
721,1721,4,4352
722,1715,4,4337
723,1719,4,4331
724,1718,4,4333
725,1723,3,4342
726,1713,3,4302
727,1717,4,4294
728,1725,4,4335
729,1721,4,4314
730,1724,4,4310
731,1728,4,4312
732,1720,4,4299
733,1740,4,4297
734,1740,4,4275
735,1743,4,4270
736,1725,4,4264
737,1732,4,4251
738,1740,4,4264
739,1734,5,4239
740,1728,5,4244
741,1717,5,4228
742,1718,4,4236
743,1718,5,4226
744,1711,5,4217
745,1702,5,4202
746,1702,5,4190
747,1704,5,4180
748,1693,5,4201
749,1683,4,4196
750,1689,4,4202
751,1691,4,4218
752,1697,4,4216
753,1689,4,4208
754,1693,5,4215
755,1686,5,4181
756,1680,5,4161
757,1672,5,4163
758,1656,5,4144
759,1656,5,4137
760,1661,5,4119
761,1661,5,4113
762,1654,5,4092
763,1651,5,4102
764,1648,5,4065
765,1664,5,4082
766,1673,5,4066
767,1676,5,4059
768,1678,5,4053
769,1678,5,4044
770,1681,5,4045
771,1674,5,4021
772,1669,5,4010
773,1669,5,3992
774,1668,5,3961
775,1672,5,3959
776,1679,5,3976
777,1683,5,3985
778,1684,6,3978
779,1685,6,3968
780,1693,6,3954
781,1693,6,3948
782,1692,6,3934
783,1686,6,3927
784,1695,6,3953
785,1678,6,3921
786,1684,6,3910
787,1701,6,3928
788,1689,6,3914
789,1699,6,3922
790,1690,6,3912
791,1690,6,3892
792,1702,6,3897
793,1694,6,3864
794,1699,6,3863
795,1696,6,3852
796,1699,6,3855
797,1703,6,3869
798,1713,6,3889
799,1709,6,3889
800,1714,6,3880
801,1702,6,3886
802,1702,6,3881
803,1693,6,3871
804,1691,6,3878
805,1689,6,3863
806,1678,6,3853
807,1686,6,3871
808,1690,6,3860
809,1681,7,3835
810,1687,7,3853
811,1684,7,3836
812,1689,7,3832
813,1682,7,3839
814,1686,7,3825
815,1702,7,3844
816,1692,7,3825
817,1693,7,3836
818,1693,8,3853
819,1691,8,3850
820,1692,8,3854
821,1701,8,3853
822,1700,8,3850
823,1696,7,3829
824,1692,8,3832
825,1695,8,3829
826,1709,8,3851
827,1705,9,3840
828,1708,9,3864
829,1707,10,3875
830,1703,11,3842
831,1700,11,3854
832,1696,11,3844
833,1696,11,3852
834,1708,11,3862
835,1707,11,3862
836,1702,11,3850
837,1695,11,3848
838,1698,11,3848
839,1690,11,3834
840,1690,11,3844
841,1676,11,3826
842,1688,11,3842
843,1697,11,3843
844,1698,11,3842
845,1696,11,3838
846,1694,11,3843
847,1685,11,3822
848,1679,11,3818
849,1674,11,3827
850,1678,11,3820
851,1688,11,3827
852,1667,11,3820
853,1679,10,3841
854,1681,10,3844
855,1685,10,3846
856,1680,10,3838
857,1680,10,3829
858,1683,10,3805
859,1670,9,3790
860,1665,9,3798
861,1663,9,3785
862,1656,9,3763
863,1660,9,3779
864,1650,9,3764
865,1639,9,3741
866,1646,9,3748
867,1655,9,3742
868,1644,9,3751
869,1650,9,3761
870,1662,9,3782
871,1669,9,3780
872,1673,8,3795
873,1685,8,3817
874,1687,8,3812
875,1681,8,3819
876,1671,8,3829
877,1670,8,3849
878,1679,8,3860
879,1677,8,3849
880,1683,8,3826
881,1682,8,3836
882,1668,8,3846
883,1677,8,3834
884,1673,8,3830
885,1672,8,3818
886,1671,8,3814
887,1676,8,3819
888,1664,8,3822
889,1655,7,3821
890,1664,7,3831
891,1666,7,3841
892,1674,7,3841
893,1672,7,3811
894,1675,7,3820
895,1680,7,3826
896,1690,7,3812
897,1681,7,3812
898,1687,7,3825
899,1682,6,3820
900,1688,6,3839
901,1690,6,3817
902,1682,6,3810
903,1681,6,3780
904,1680,6,3794
905,1677,6,3788
906,1679,6,3807
907,1691,6,3808
908,1691,6,3802
909,1693,6,3801
910,1687,6,3795
911,1691,6,3815
912,1689,6,3822
913,1683,6,3806
914,1671,6,3801
915,1665,6,3789
916,1661,6,3777
917,1653,6,3768
918,1642,6,3749
919,1647,6,3747
920,1641,6,3742
921,1656,6,3762
922,1655,6,3768
923,1647,6,3756
924,1638,6,3737
925,1629,6,3731
926,1629,6,3724
927,1624,5,3714
928,1617,5,3698
929,1618,5,3700
930,1614,5,3694
931,1626,5,3698
932,1620,6,3679
933,1621,6,3690
934,1617,6,3696
935,1613,6,3699
936,1598,6,3697
937,1595,6,3690
938,1592,6,3689
939,1591,6,3680
940,1589,6,3682
941,1581,6,3686
942,1574,6,3686
943,1577,6,3687
944,1575,6,3683
945,1578,6,3695
946,1576,6,3676
947,1580,6,3684
948,1577,6,3665
949,1578,6,3678
950,1585,6,3665
951,1586,6,3680
952,1582,6,3676
953,1584,6,3652
954,1583,6,3646
955,1574,5,3638
956,1573,5,3628
957,1569,5,3618
958,1573,5,3607
959,1576,5,3607
960,1576,5,3599
961,1574,5,3580
962,1565,5,3572
963,1559,5,3569
964,1560,5,3554
965,1559,5,3528
966,1563,5,3532
967,1551,5,3503
968,1547,4,3494
969,1553,4,3492
970,1552,4,3485
971,1556,4,3479
972,1549,4,3459
973,1554,4,3482
974,1555,3,3483
975,1541,3,3458
976,1546,2,3479
977,1535,2,3460
978,1534,1,3450
979,1539,1,3445
980,1536,1,3412
981,1527,1,3392
982,1515,1,3397
983,1511,1,3382
984,1502,1,3372
985,1510,1,3379
986,1514,1,3385
987,1509,1,3378
988,1518,1,3394
989,1522,1,3392
990,1519,1,3373
991,1506,1,3374
992,1514,1,3373
993,1514,1,3365
994,1517,1,3381
995,1520,1,3387
996,1525,1,3404
997,1525,1,3398
998,1512,1,3379
999,1518,1,3386
1000,1510,1,3372
1001,1512,1,3378
1002,1499,1,3386
1003,1497,1,3387
1004,1493,1,3394
1005,1495,1,3388
1006,1497,1,3393
1007,1489,1,3413
1008,1490,1,3394
1009,1505,1,3400
1010,1505,1,3404
1011,1501,2,3415
1012,1501,2,3405
1013,1486,2,3372
1014,1485,2,3392
1015,1490,2,3398
1016,1492,2,3390
1017,1497,2,3406
1018,1487,3,3386
1019,1476,3,3392
1020,1473,3,3387
1021,1467,3,3372
1022,1454,3,3355
1023,1459,3,3344
1024,1456,3,3331
1025,1459,3,3342
1026,1459,1,3316
1027,1453,1,3330
1028,1460,3,3328
1029,1456,3,3327
1030,1457,3,3330
1031,1456,3,3334
1032,1465,3,3336
1033,1463,3,3341
1034,1451,3,3328
1035,1447,3,3336
1036,1437,3,3346
1037,1450,3,3364
1038,1449,3,3362
1039,1453,3,3368
1040,1447,3,3372
1041,1443,3,3378
1042,1443,3,3374
1043,1448,3,3375
1044,1436,3,3376
1045,1422,3,3350
1046,1416,3,3351
1047,1408,3,3342
1048,1400,3,3349
1049,1399,3,3388
1050,1399,3,3409
1051,1408,3,3430
1052,1412,3,3445
1053,1411,3,3453
1054,1411,3,3468
1055,1417,3,3465
1056,1413,3,3472
1057,1414,3,3495
1058,1411,3,3499
1059,1411,3,3502
1060,1411,3,3507
1061,1415,3,3533
1062,1419,3,3541
1063,1422,3,3555
1064,1426,3,3559
1065,1436,3,3588
1066,1441,3,3604
1067,1434,3,3617
1068,1443,3,3621
1069,1446,3,3625
1070,1449,3,3635
1071,1461,3,3642
1072,1457,3,3640
1073,1456,3,3658
1074,1459,3,3670
1075,1456,3,3675
1076,1459,3,3690
1077,1454,3,3700
1078,1453,2,3708
1079,1462,2,3712
1080,1458,3,3714
1081,1455,3,3701
1082,1464,3,3694
1083,1464,3,3713
1084,1462,3,3698
1085,1463,2,3709
1086,1459,2,3697
1087,1451,2,3688
1088,1458,2,3691
1089,1466,2,3703
1090,1458,2,3707
1091,1462,2,3719
1092,1455,2,3719
1093,1457,2,3738
1094,1454,2,3740
1095,1458,2,3735
1096,1449,2,3727
1097,1450,2,3739
1098,1453,2,3737
1099,1448,2,3737
1100,1450,2,3759
1101,1437,2,3739
1102,1439,2,3756
1103,1435,2,3769
1104,1435,2,3765
1105,1435,2,3775
1106,1434,2,3771
1107,1425,2,3764
1108,1425,2,3786
1109,1424,2,3797
1110,1419,2,3790
1111,1423,2,3804
1112,1424,2,3816
1113,1413,2,3824
1114,1414,2,3822
1115,1406,2,3813
1116,1405,2,3814
1117,1411,2,3834
1118,1406,2,3831
1119,1410,2,3838
1120,1419,2,3832
1121,1407,2,3830
1122,1406,2,3831
1123,1392,2,3833
1124,1399,2,3847
1125,1391,2,3839
1126,1393,2,3870
1127,1387,2,3879
1128,1382,2,3895
1129,1377,2,3898
1130,1376,2,3911
1131,1377,2,3916
1132,1361,2,3899
1133,1358,2,3902
1134,1370,2,3909
1135,1376,2,3929
1136,1378,2,3918
1137,1376,2,3917
1138,1370,2,3919
1139,1365,2,3913
1140,1365,2,3903
1141,1359,2,3916
1142,1348,2,3914
1143,1341,2,3909
1144,1351,2,3920
1145,1351,2,3918
1146,1352,3,3921
1147,1356,3,3937
1148,1352,3,3939
1149,1349,3,3934
1150,1351,3,3916
1151,1340,3,3932
1152,1339,3,3934
1153,1342,3,3930
1154,1333,3,3932
1155,1339,3,3941
1156,1338,3,3938
1157,1326,3,3931
1158,1330,3,3934
1159,1325,3,3940
1160,1325,2,3939
1161,1314,1,3929
1162,1316,1,3923
1163,1315,1,3917
1164,1315,1,3910
1165,1326,1,3937
1166,1323,1,3925
1167,1328,1,3934
1168,1335,1,3936
1169,1333,1,3913
1170,1332,1,3914
1171,1332,1,3909
1172,1326,1,3904
1173,1318,1,3882
1174,1317,1,3883
1175,1321,1,3889
1176,1306,1,3878
1177,1306,1,3879
1178,1301,1,3873
1179,1297,1,3868
1180,1301,1,3870
1181,1301,2,3851
1182,1313,2,3859
1183,1305,2,3862
1184,1297,2,3854
1185,1288,2,3835
1186,1287,2,3832
1187,1281,2,3819
1188,1283,2,3792
1189,1297,2,3819
1190,1303,2,3807
1191,1311,2,3801
1192,1312,2,3802
1193,1308,2,3787
1194,1313,2,3790
1195,1305,2,3770
1196,1301,2,3758
1197,1302,2,3733
1198,1302,2,3729
1199,1309,2,3721
1200,1317,2,3705
1201,1327,2,3706
1202,1325,2,3677
1203,1316,2,3671
1204,1317,2,3665
1205,1306,2,3656
1206,1301,2,3646
1207,1301,2,3628
1208,1288,2,3592
1209,1298,2,3598
1210,1298,2,3580
1211,1283,2,3573
1212,1296,2,3583
1213,1297,2,3565
1214,1290,2,3566
1215,1284,2,3560
1216,1285,2,3549
1217,1284,2,3548
1218,1284,2,3518
1219,1289,2,3524
1220,1276,3,3518
1221,1270,3,3499
1222,1269,3,3504
1223,1277,3,3491
1224,1269,3,3462
1225,1272,3,3461
1226,1278,3,3442
1227,1280,3,3442
1228,1281,3,3451
1229,1283,3,3461
1230,1281,3,3454
1231,1280,3,3464
1232,1283,3,3464
1233,1281,3,3468
1234,1283,3,3461
1235,1274,3,3446
1236,1284,3,3451
1237,1276,4,3455
1238,1280,4,3460
1239,1278,4,3433
1240,1274,4,3423
1241,1258,4,3394
1242,1254,4,3391
1243,1252,4,3395
1244,1259,4,3404
1245,1259,4,3407
1246,1258,4,3398
1247,1254,4,3389
1248,1253,4,3368
1249,1258,4,3352
1250,1259,4,3348
1251,1261,4,3358
1252,1259,4,3371
1253,1262,4,3356
1254,1263,4,3348
1255,1262,4,3335
1256,1254,4,3328
1257,1256,4,3323
1258,1256,4,3319
1259,1256,4,3341
1260,1254,4,3323
1261,1265,4,3336
1262,1268,4,3325
1263,1274,4,3319
1264,1267,4,3304
1265,1264,4,3289
1266,1263,4,3288
1267,1261,4,3268
1268,1268,4,3277
1269,1269,4,3281
1270,1264,4,3264
1271,1269,4,3257
1272,1267,4,3228
1273,1277,4,3228
1274,1273,4,3207
1275,1278,4,3211
1276,1280,4,3202
1277,1284,4,3202
1278,1279,4,3192
1279,1278,4,3187
1280,1288,4,3183
1281,1285,4,3162
1282,1283,4,3152
1283,1282,4,3135
1284,1286,4,3138
1285,1288,4,3136
1286,1288,4,3122
1287,1306,4,3122
1288,1307,4,3104
1289,1306,4,3091
1290,1301,4,3076
1291,1298,4,3045
1292,1303,4,3026
1293,1304,4,3021
1294,1300,4,2996
1295,1301,4,2998
1296,1307,4,2995
1297,1310,3,2993
1298,1314,3,2982
1299,1321,3,2999
1300,1323,3,2969
1301,1323,3,2972
1302,1325,4,2976
1303,1316,4,2934
1304,1324,4,2936
1305,1316,4,2915
1306,1321,4,2933
1307,1328,4,2924
1308,1338,5,2924
1309,1339,5,2919
1310,1342,5,2900
1311,1346,5,2900
1312,1341,5,2883
1313,1342,5,2878
1314,1343,5,2851
1315,1339,5,2855
1316,1341,5,2863
1317,1332,5,2859
1318,1330,5,2863
1319,1332,5,2849
1320,1332,5,2842
1321,1326,5,2823
1322,1327,5,2822
1323,1336,5,2819
1324,1331,5,2810
1325,1334,5,2800
1326,1336,5,2791
1327,1330,4,2782
1328,1330,4,2777
1329,1327,4,2779
1330,1337,5,2775
1331,1342,5,2773
1332,1337,5,2743
1333,1334,5,2736
1334,1333,5,2733
1335,1335,5,2711
1336,1334,5,2717
1337,1329,5,2694
1338,1328,5,2692
1339,1326,5,2691
1340,1319,5,2673
1341,1324,5,2671
1342,1330,5,2654
1343,1327,5,2649
1344,1325,5,2640
1345,1315,5,2623
1346,1314,5,2614
1347,1311,5,2606
1348,1305,5,2594
1349,1294,5,2567
1350,1286,5,2554
1351,1284,5,2545
1352,1275,5,2548
1353,1273,5,2549
1354,1272,5,2547
1355,1281,5,2519
1356,1274,5,2497
1357,1271,5,2480
1358,1275,5,2459
1359,1267,5,2442
1360,1261,5,2422
1361,1252,5,2407
1362,1250,5,2403
1363,1249,5,2389
1364,1246,5,2381
1365,1231,5,2359
1366,1220,5,2342
